timestamp,velocity_m_s,pressure_bar,power_W,position_deg
1748353364.831017,50.82144475598024,1.092,55.49701767353042,209.0
1748353364.8409767,50.82144475598024,1.092,55.49701767353042,209.0
1748353364.8509946,50.82144475598024,1.092,55.49701767353042,209.0
1748353364.8615158,50.82144475598024,1.092,55.49701767353042,209.0
1748353364.8704748,50.82144475598024,1.092,55.49701767353042,209.0
1748353364.8807447,50.82144475598024,1.092,55.49701767353042,209.0
1748353364.890928,50.82144475598024,1.092,55.49701767353042,209.0
1748353364.9006894,29.296651920838183,1.0801000000000003,31.64331373969733,212.0
1748353364.91097,29.296651920838183,1.0801000000000003,31.64331373969733,212.0
1748353364.921342,29.296651920838183,1.0801000000000003,31.64331373969733,212.0
1748353364.9315658,29.296651920838183,1.0801000000000003,31.64331373969733,212.0
1748353364.941237,29.296651920838183,1.0801000000000003,31.64331373969733,212.0
1748353364.95121,29.296651920838183,1.0801000000000003,31.64331373969733,212.0
1748353364.9612355,29.296651920838183,1.0801000000000003,31.64331373969733,212.0
1748353364.971211,29.296651920838183,1.0801000000000003,31.64331373969733,212.0
1748353364.981135,29.296651920838183,1.0801000000000003,31.64331373969733,212.0
1748353364.9911025,29.296651920838183,1.0801000000000003,31.64331373969733,212.0
1748353365.0010781,-9.78760979343433,1.092,10.688069894430289,211.0
1748353365.011048,-9.78760979343433,1.092,10.688069894430289,211.0
1748353365.0210228,-9.78760979343433,1.092,10.688069894430289,211.0
1748353365.0310006,-9.78760979343433,1.092,10.688069894430289,211.0
1748353365.041455,-9.78760979343433,1.092,10.688069894430289,211.0
1748353365.0512273,-9.78760979343433,1.092,10.688069894430289,211.0
1748353365.0615788,-9.78760979343433,1.092,10.688069894430289,211.0
1748353365.070418,-9.78760979343433,1.092,10.688069894430289,211.0
1748353365.080574,-9.78760979343433,1.092,10.688069894430289,211.0
1748353365.0904078,-9.78760979343433,1.092,10.688069894430289,211.0
1748353365.1012456,-40.60215386849302,1.1038999999999999,44.82071765542944,207.0
1748353365.1104817,-40.60215386849302,1.1038999999999999,44.82071765542944,207.0
1748353365.120413,-40.60215386849302,1.1038999999999999,44.82071765542944,207.0
1748353365.1313844,-40.60215386849302,1.1038999999999999,44.82071765542944,207.0
1748353365.1413567,-40.60215386849302,1.1038999999999999,44.82071765542944,207.0
1748353365.1513302,-40.60215386849302,1.1038999999999999,44.82071765542944,207.0
1748353365.1613016,-40.60215386849302,1.1038999999999999,44.82071765542944,207.0
